Country,VALUE,RANK,SCORE,DATE DESCRIPTION,SOURCE,SOURCE DATE,NOTE,data_country,data_year
Angola,11.26339149,72,92.4339672,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Albania,18.34625244,109,85.05598704,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
United Arab Emirates,7.141924858,42,96.72716161,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Argentina,13.03543377,88,90.58808982,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Armenia,11.09888363,71,92.60532955,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Australia,5.286031246,22,98.66038412,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Austria,4.42193079,15,99.56048876,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Azerbaijan,9.803512573,59,93.9546744,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Burundi,n/a,n/a,77.53341198,,,,,,
Belgium,4.198336124,12,99.79339987,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Benin,19.40402031,113,83.95414551,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Burkina Faso,n/a,n/a,80.07893761,,,,,,
Bangladesh,10.66115284,68,93.06129913,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Bulgaria,9.194190979,55,94.5893844,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Bahrain,2.407608986,4,100,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Bosnia and Herzegovina,9.693076134,58,94.06971236,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Bolivia,12.39239025,80,91.25792682,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Brazil,16.0828743,102,87.4136726,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Barbados,n/a,n/a,86.31991347,,,,,,
Brunei Darussalam,5.69086647,28,98.23868076,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Botswana,12.93281364,86,90.69498579,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Canada,10.7713604,69,92.94649958,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Switzerland,6.65891695,35,97.23029484,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Chile,3.622676611,9,100,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
China,4.936081886,18,99.0249147,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Côte d'Ivoire,19.38058281,112,83.97855957,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Cameroon,20.80265999,116,82.49722918,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
"Congo, Democratic Rep.",13.92100716,91,89.66561754,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Colombia,9.06301403,51,94.72602705,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Cape Verde,n/a,n/a,93.27771068,,,,,,
Costa Rica,10.24385834,63,93.4959809,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Cyprus,5.381624699,24,98.56080761,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Czech Republic,5.640422821,26,98.29122623,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Germany,4.30325079,13,99.68411376,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
Denmark,5.284015656,20,98.66248369,2016 estimate,"International Energy Agency, Energy Data Center (direct communication)", 4/17/2019,,,
